Date,Open,High,Low,Close,Adj Close,Volume
3/11/1974,1.1875,1.239583,1.182292,1.22526,0.303984,2544000
3/12/1974,1.22526,1.242188,1.221354,1.242188,0.308183,1651200
3/13/1974,1.242188,1.25,1.229167,1.242188,0.308183,1708800
3/14/1974,1.240885,1.240885,1.213542,1.22526,0.303984,1804800
3/15/1974,1.213542,1.213542,1.192708,1.205729,0.299138,1027200
3/18/1974,1.203125,1.203125,1.177083,1.179688,0.292677,1862400
3/19/1974,1.179688,1.1875,1.166667,1.1875,0.294616,1123200
3/20/1974,1.1875,1.204427,1.1875,1.201823,0.298169,1622400
3/21/1974,1.201823,1.222656,1.201823,1.214844,0.301399,1420800
3/22/1974,1.214844,1.230469,1.205729,1.221354,0.303015,1612800
3/25/1974,1.221354,1.231771,1.210938,1.231771,0.305599,1238400
3/26/1974,1.231771,1.236979,1.221354,1.221354,0.303015,1603200
3/27/1974,1.221354,1.227865,1.192708,1.192708,0.295908,1171200
3/28/1974,1.174479,1.174479,1.160156,1.161458,0.288155,2313600
3/29/1974,1.161458,1.165365,1.147135,1.147135,0.284601,1209600
4/1/1974,1.147135,1.14974,1.138021,1.139323,0.282663,1756800
4/2/1974,1.139323,1.145833,1.130208,1.138021,0.28234,1516800
4/3/1974,1.138021,1.151042,1.138021,1.151042,0.28557,1363200
4/4/1974,1.151042,1.173177,1.148438,1.14974,0.285247,1008000
4/5/1974,1.148438,1.148438,1.125,1.127604,0.279756,2448000
4/8/1974,1.122396,1.122396,1.115885,1.115885,0.276848,1622400
4/9/1974,1.115885,1.139323,1.114583,1.139323,0.282663,2457600
4/10/1974,1.139323,1.145833,1.119792,1.125,0.279109,1756800
4/11/1974,1.125,1.143229,1.125,1.136719,0.282017,576000
4/15/1974,1.136719,1.145833,1.11849,1.144531,0.283955,3168000
4/16/1974,1.144531,1.171875,1.139323,1.171875,0.290739,2112000
4/17/1974,1.171875,1.184896,1.167969,1.173177,0.291062,2630400
4/18/1974,1.171875,1.171875,1.157552,1.166667,0.289447,1804800
4/19/1974,1.158854,1.158854,1.141927,1.145833,0.284278,1545600
4/22/1974,1.145833,1.153646,1.140625,1.147135,0.284601,816000
4/23/1974,1.147135,1.14974,1.125,1.126302,0.279432,1737600
4/24/1974,1.122396,1.122396,1.109375,1.109375,0.275233,1843200
4/25/1974,1.106771,1.106771,1.092448,1.096354,0.272003,3484800
4/26/1974,1.096354,1.111979,1.083333,1.089844,0.270387,4396800
4/29/1974,1.089844,1.098958,1.070313,1.095052,0.27168,2006400
4/30/1974,1.095052,1.101563,1.079427,1.098958,0.272649,1382400
5/1/1974,1.097656,1.097656,1.079427,1.089844,0.270387,3523200
5/2/1974,1.089844,1.091146,1.049479,1.049479,0.260373,4089600
5/3/1974,1.041667,1.041667,1.027344,1.028646,0.255204,4915200
5/6/1974,1.028646,1.052083,1.02474,1.040365,0.258111,3235200
5/7/1974,1.041667,1.05599,1.041667,1.044271,0.259081,2188800
5/8/1974,1.044271,1.083333,1.041667,1.083333,0.268772,2390400
5/9/1974,1.085938,1.140625,1.085938,1.130208,0.280402,3369600
5/10/1974,1.130208,1.140625,1.121094,1.130208,0.280402,2976000
5/13/1974,1.130208,1.139323,1.114583,1.119792,0.277817,2419200
5/14/1974,1.119792,1.135417,1.108073,1.117188,0.277171,2025600
5/15/1974,1.117188,1.119792,1.109375,1.119792,0.277817,1296000
5/16/1974,1.119792,1.130208,1.098958,1.098958,0.272649,1200000
5/17/1974,1.083333,1.083333,1.059896,1.0625,0.263603,2390400
5/20/1974,1.0625,1.070313,1.059896,1.0625,0.263603,1209600
5/21/1974,1.0625,1.08724,1.0625,1.067708,0.264895,2889600
5/22/1974,1.067708,1.070313,1.052083,1.052083,0.261019,5212800
5/23/1974,1.052083,1.072917,1.052083,1.072917,0.266188,2246400
5/24/1974,1.072917,1.091146,1.06901,1.082031,0.268449,3350400
5/28/1974,1.082031,1.085938,1.078125,1.079427,0.267803,2112000
5/29/1974,1.076823,1.076823,1.067708,1.070313,0.265542,1872000
5/30/1974,1.070313,1.102865,1.070313,1.095052,0.27168,1872000
5/31/1974,1.095052,1.125,1.091146,1.115885,0.276848,1584000
6/3/1974,1.115885,1.135417,1.109375,1.132813,0.281048,1190400
6/4/1974,1.143229,1.157552,1.143229,1.151042,0.28557,2496000
6/5/1974,1.151042,1.160156,1.135417,1.135417,0.281694,3033600
6/6/1974,1.139323,1.190104,1.139323,1.190104,0.295261,1209600
6/7/1974,1.192708,1.222656,1.192708,1.195313,0.296554,3139200
6/10/1974,1.195313,1.229167,1.18099,1.221354,0.304362,2400000
6/11/1974,1.220052,1.220052,1.205729,1.213542,0.302415,2025600
6/12/1974,1.213542,1.213542,1.197917,1.213542,0.302415,1257600
6/13/1974,1.213542,1.233073,1.213542,1.229167,0.306309,1948800
6/14/1974,1.229167,1.233073,1.221354,1.227865,0.305984,1056000
6/17/1974,1.227865,1.227865,1.200521,1.205729,0.300468,2419200
6/18/1974,1.205729,1.221354,1.19401,1.205729,0.300468,1334400
6/19/1974,1.203125,1.203125,1.186198,1.186198,0.295601,1228800
6/20/1974,1.186198,1.195313,1.171875,1.174479,0.292681,1200000
6/21/1974,1.165365,1.165365,1.139323,1.144531,0.285218,1545600
6/24/1974,1.144531,1.15625,1.128906,1.147135,0.285867,1536000
6/25/1974,1.151042,1.173177,1.151042,1.167969,0.291058,1180800
6/26/1974,1.167969,1.170573,1.138021,1.138021,0.283595,1372800
6/27/1974,1.138021,1.139323,1.121094,1.127604,0.281,1113600
6/28/1974,1.125,1.125,1.111979,1.125,0.280351,1632000
7/1/1974,1.126302,1.135417,1.126302,1.126302,0.280675,566400
7/2/1974,1.126302,1.130208,1.072917,1.074219,0.267696,1449600
7/3/1974,1.074219,1.075521,1.048177,1.052083,0.26218,2496000
7/5/1974,1.052083,1.054688,1.044271,1.054688,0.262829,1027200
7/8/1974,1.042969,1.042969,1.033854,1.036458,0.258286,1833600
7/9/1974,1.036458,1.052083,1.020833,1.048177,0.261206,2889600
7/10/1974,1.048177,1.0625,1.039063,1.039063,0.258935,1670400
7/11/1974,1.039063,1.057292,1.026042,1.03125,0.256988,2889600
7/12/1974,1.045573,1.061198,1.045573,1.057292,0.263478,2035200
7/15/1974,1.072917,1.089844,1.072917,1.083333,0.269967,2601600
7/16/1974,1.079427,1.079427,1.023438,1.023438,0.255041,2976000
7/17/1974,1.023438,1.041667,1,1.040365,0.259259,3148800
7/18/1974,1.033854,1.033854,1.001302,1.007813,0.251148,2995200
7/19/1974,1.007813,1.015625,1,1.010417,0.251796,2227200
7/22/1974,1.010417,1.013021,1.005208,1.00651,0.250823,1497600
7/23/1974,1.00651,1.020833,0.998698,1,0.249201,2592000
7/24/1974,0.99349,0.99349,0.973958,0.990885,0.246929,4598400
7/25/1974,0.989583,0.989583,0.966146,0.979167,0.244009,3600000
7/26/1974,0.960938,0.960938,0.950521,0.953125,0.237519,3916800
7/29/1974,0.9375,0.9375,0.921875,0.929688,0.231679,4329600
7/30/1974,0.929688,0.934896,0.907552,0.919271,0.229083,3398400
7/31/1974,0.914063,0.914063,0.876302,0.886719,0.220971,3571200
8/1/1974,0.886719,0.901042,0.867188,0.872396,0.217402,4022400
8/2/1974,0.872396,0.872396,0.856771,0.859375,0.214157,3360000
8/5/1974,0.859375,0.864583,0.848958,0.855469,0.213183,5126400
8/6/1974,0.855469,0.888021,0.855469,0.869792,0.216753,4924800
8/7/1974,0.869792,0.924479,0.865885,0.920573,0.229407,3696000
8/8/1974,0.920573,0.927083,0.898438,0.903646,0.225189,5971200
8/9/1974,0.898438,0.898438,0.867188,0.867188,0.216104,5251200
8/12/1974,0.865885,0.865885,0.833333,0.834635,0.207992,2928000
8/13/1974,0.834635,0.834635,0.796875,0.8125,0.202475,4339200
8/14/1974,0.8125,0.830729,0.799479,0.820313,0.204422,3024000
8/15/1974,0.820313,0.835938,0.815104,0.820313,0.204422,1929600
8/16/1974,0.820313,0.841146,0.816406,0.825521,0.20572,2428800
8/19/1974,0.825521,0.832031,0.81901,0.824219,0.205396,2851200
8/20/1974,0.824219,0.851563,0.813802,0.813802,0.2028,3571200
8/21/1974,0.813802,0.815104,0.791667,0.791667,0.197284,2025600
8/22/1974,0.791667,0.791667,0.755208,0.763021,0.190145,6374400
8/23/1974,0.763021,0.786458,0.760417,0.761719,0.189821,3705600
8/26/1974,0.761719,0.778646,0.755208,0.776042,0.19339,4166400
8/27/1974,0.765625,0.765625,0.747396,0.75,0.1869,2563200
8/28/1974,0.75,0.763021,0.746094,0.748698,0.186576,2438400
8/29/1974,0.744792,0.744792,0.731771,0.739583,0.184304,2716800
8/30/1974,0.739583,0.761719,0.739583,0.757813,0.188847,3571200
9/3/1974,0.757813,0.770833,0.74349,0.75,0.1869,1929600
9/4/1974,0.739583,0.739583,0.71224,0.71875,0.179113,3993600
9/5/1974,0.726563,0.763021,0.726563,0.763021,0.190145,3696000
9/6/1974,0.763021,0.770833,0.75,0.755208,0.188198,2688000
9/9/1974,0.744792,0.744792,0.720052,0.720052,0.179437,1728000
9/10/1974,0.720052,0.734375,0.705729,0.708333,0.177889,2908800
9/11/1974,0.708333,0.71875,0.704427,0.704427,0.176908,1689600
9/12/1974,0.703125,0.703125,0.664063,0.665365,0.167098,4598400
